predict_nodepair_id,ans
0,0
1,0
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,1
20,0
21,0
22,1
23,0
24,1
25,1
26,1
27,1
28,0
29,0
30,0
31,0
32,0
33,1
34,1
35,0
36,1
37,1
38,1
39,0
40,1
41,0
42,0
43,0
44,1
45,0
46,1
47,1
48,0
49,0
50,1
51,1
52,0
53,0
54,1
55,1
56,0
57,1
58,0
59,1
60,0
61,0
62,0
63,1
64,0
65,1
66,0
67,0
68,0
69,1
70,1
71,1
72,1
73,0
74,0
75,1
76,1
77,0
78,0
79,1
80,1
81,0
82,0
83,0
84,0
85,0
86,0
87,1
88,1
89,0
90,0
91,0
92,1
93,1
94,1
95,0
96,1
97,1
98,0
99,1
100,1
101,1
102,0
103,1
104,1
105,0
106,1
107,1
108,1
109,0
110,0
111,1
112,0
113,1
114,1
115,0
116,1
117,0
118,1
119,0
120,0
121,0
122,1
123,0
124,0
125,0
126,0
127,0
128,0
129,1
130,1
131,1
132,1
133,0
134,1
135,0
136,0
137,1
138,1
139,0
140,0
141,1
142,1
143,1
144,1
145,0
146,0
147,0
148,0
149,0
150,1
151,1
152,1
153,0
154,0
155,1
156,1
157,1
158,1
159,1
160,1
161,1
162,0
163,0
164,1
165,1
166,1
167,1
168,1
169,0
170,1
171,0
172,1
173,0
174,1
175,1
176,1
177,1
178,1
179,0
180,1
181,0
182,0
183,0
184,0
185,1
186,0
187,1
188,1
189,1
190,0
191,0
192,1
193,1
194,1
195,1
196,1
197,0
198,1
199,1
200,1
201,0
202,0
203,1
204,1
205,1
206,1
207,0
208,0
209,0
210,1
211,1
212,1
213,1
214,1
215,1
216,1
217,1
218,0
219,1
220,0
221,0
222,0
223,0
224,1
225,0
226,0
227,1
228,0
229,1
230,0
231,0
232,0
233,1
234,0
235,0
236,0
237,1
238,0
239,0
240,0
241,1
242,1
243,1
244,0
245,1
246,1
247,0
248,0
249,1
250,0
251,1
252,1
253,0
254,1
255,1
256,1
257,0
258,1
259,0
260,0
261,1
262,0
263,0
264,1
265,1
266,0
267,0
268,1
269,0
270,1
271,0
272,1
273,0
274,1
275,0
276,1
277,1
278,1
279,1
280,0
281,1
282,1
283,0
284,0
285,0
286,1
287,0
288,0
289,1
290,0
291,0
292,1
293,1
294,0
295,0
296,1
297,0
298,1
299,1
300,1
301,1
302,1
303,0
304,0
305,0
306,1
307,1
308,0
309,1
310,0
311,0
312,1
313,0
314,0
315,0
316,1
317,0
318,0
319,0
320,1
321,0
322,0
323,0
324,0
325,1
326,1
327,1
328,0
329,0
330,1
331,0
332,1
333,1
334,1
335,0
336,0
337,1
338,1
339,1
340,0
341,1
342,0
343,0
344,1
345,1
346,0
347,1
348,0
349,1
350,1
351,0
352,1
353,1
354,0
355,0
356,1
357,0
358,1
359,1
360,0
361,1
362,0
363,0
364,0
365,0
366,0
367,1
368,0
369,0
370,0
371,1
372,1
373,1
374,1
375,1
376,1
377,0
378,0
379,0
380,1
381,1
382,1
383,0
384,0
385,1
386,0
387,0
388,0
389,1
390,0
391,0
392,0
393,0
394,0
395,0
396,1
397,0
398,1
399,0
400,1
401,0
402,1
403,1
404,0
405,0
406,1
407,0
408,1
409,1
410,1
411,0
412,0
413,1
414,1
415,1
416,0
417,1
418,0
419,0
420,1
421,1
422,0
423,1
424,1
425,0
426,1
427,1
428,0
429,1
430,0
431,1
432,1
433,0
434,1
435,1
436,0
437,1
438,1
439,0
440,0
441,0
442,1
443,0
444,0
445,0
446,1
447,1
448,1
449,0
450,1
451,0
452,0
453,1
454,1
455,1
456,1
457,1
458,0
459,0
460,0
461,1
462,1
463,1
464,0
465,0
466,1
467,0
468,1
469,1
470,0
471,0
472,1
473,1
474,0
475,1
476,0
477,1
478,1
479,1
480,0
481,1
482,0
483,0
484,0
485,0
486,0
487,0
488,1
489,1
490,0
491,1
492,0
493,0
494,1
495,1
496,0
497,0
498,0
499,0
